Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
PNB Finance And Industries Limited,Unlisted,NBFC,"6,555.00","2,097.600",https://wwipl.com/,,,,,
Hutti Gold Mines Company Limited,Unlisted,Mining & Minerals,"70,700.00","2,094.162",https://wwipl.com/,,,,,
Kurlon Enterprise Limited,Unlisted,Consumer Durable,560.00,"2,046.927",https://wwipl.com/,,,,,
Paymate India Private Limited,Unlisted,Financial Service,350.00,"2,009.304",https://wwipl.com/,,,,,
Taparia Tools Limited,Illiquid/unquoted,Other,"1,313.00","1,992.970",https://wwipl.com/,,,,,
Inox Leasing And Finance Limited,Unlisted,Financial Service,"2,000.00","1,980.010",https://wwipl.com/,,,,,
Hotahoti Wood Products Limited,Illiquid/unquoted,Financial Service,990.00,"1,979.996",https://wwipl.com/,,,,,
Arohan Financial Services Limited,Unlisted,Financial Service,125.00,"1,977.227",https://wwipl.com/,,,,,
Utkarsh Coreinvest Limited,Unlisted,Financial Service,190.00,"1,872.121",https://wwipl.com/,,,,,
Fino PayTech Limited,Unlisted,Financial Service,140.00,"1,865.337",https://wwipl.com/,,,,,
Tongani Tea Company Limited,Unlisted,"Tea, Coffee & Plantation","1,000.00","1,857.750",https://wwipl.com/,,,,,
One Mobikwik Systems Limited,Pre IPO,Financial Service,320.00,"1,829.905",https://wwipl.com/,,,,,
Studds Accessories Limited,Unlisted,Safety Accessories,850.00,"1,672.520",https://wwipl.com/,,,,,
CTR Manufacturing Industries Private Limited,Unlisted,Electric Equipment,"90,000.00","1,594.710",https://wwipl.com/,,,,,
Bharat Hotels Limited,Delisted,Hotel or Catering,200.00,"1,519.824",https://wwipl.com/,,,,,
Fincare Business Services Limited,Unlisted,Financial Service,45.50,"1,500.363",https://wwipl.com/,,,,,
IKF Finance Limited,Unlisted,Financial Service,221.00,"1,492.517",https://wwipl.com/,,,,,
GKN Driveline India Limited,Delisted,Auto Ancillaries,"1,150.00","1,468.902",https://wwipl.com/,,,,,
Mohan Meakin Limited,Unlisted,Breweries & Distilleries,"1,650.00","1,403.899",https://wwipl.com/,,,,,
National Commodity And Derivatives Exchange Limited,Unlisted,Financial Service,275.00,"1,393.590",https://wwipl.com/,,,,,
Indofil Industries Limited,Unlisted,Pesticides,640.00,"1,369.600",https://wwipl.com/,,,,,
Arch Pharma Labs Limited,Delisted,Other,90.10,"1,368.826",https://wwipl.com/,,,,,
Manjushree Technopack Limited,Delisted,Packaging,"1,010.00","1,368.318",https://wwipl.com/,,,,,
Orbis Financial Corporation Limited,Unlisted,Financial Service,115.00,"1,306.780",https://wwipl.com/,,,,,
Capital Small Finance Bank Limited,Pre IPO,Financial Service,380.00,"1,304.865",https://wwipl.com/,,,,,
ESDS Software Solution Limited,Pre IPO,"IT, Software",225.00,"1,257.293",https://wwipl.com/,,,,,
