Company Name,Category,Sector,Share Price,Market Cap (in crores),Source,Lot Size,Min. Qty.,ISIN,Special Comment,Sell Price Rupeess
Essar Ports Limited,Unlisted,Other,10,32.62,https://wwipl.com/,,,,,
MIL Industries And Aerospace Limited,Unlisted,AEROSPACE,100,31.5,https://wwipl.com/,,,,,
Rajlaxmi Industries Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",1,31,https://wwipl.com/,,,,,
Bhatkawa Tea Industries Limited,Illiquid/unquoted,Hotel or Catering,136,30.464,https://wwipl.com/,,,,,
Fancy Fittings Limited,Illiquid/unquoted,Miscellaneous,93,30.43,https://wwipl.com/,,,,,
Down Town Hospital Limited,Unlisted,Hospital,100,30,https://wwipl.com/,,,,,
Bijni Dooars Tea Co Ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",500,30,https://wwipl.com/,,,,,
Jagadishwar Pharmaceuticals Works Limited,Illiquid/unquoted,Pharma,10,29.73,https://wwipl.com/,,,,,
Bateli Tea Company Limited,Unlisted,Other,1350,28.921,https://wwipl.com/,,,,,
Svarnim Trade Udyog Limited,Illiquid/unquoted,Trading,117,28.449,https://wwipl.com/,,,,,
Pine Animation Limited,Suspended,"IT, Software",1,27.7,https://wwipl.com/,,,,,
Nicco Corporation Limited,Delisted,Engineering,2,26.375,https://wwipl.com/,,,,,
Sigachi Laboratories Limited,Illiquid/unquoted,Pharma,39,26.337,https://wwipl.com/,,,,,
Sistema Smart Technologies Limited,Unlisted,Telecomm,0,26.335,https://wwipl.com/,,,,,
Ganodaya Finlease Limited,Illiquid/unquoted,NBFC,39,25.448,https://wwipl.com/,,,,,
LCC Infotech Limited,Delisted,"IT, Software",2,25.319,https://wwipl.com/,,,,,
Ashapura Intimates Fashion Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",10,25.237,https://wwipl.com/,,,,,
Dr Fresh Assets Limited,Illiquid/unquoted,Real Estate,45,24.596,https://wwipl.com/,,,,,
Medexport India Limited,Illiquid/unquoted,Trading,35,24.5,https://wwipl.com/,,,,,
Kwality Limited,Suspended,FMCG,1,24.135,https://wwipl.com/,,,,,
Hardoli Paper Mills Limited,Illiquid/unquoted,Paper,89,23.961,https://wwipl.com/,,,,,
Intertec Technologies Limited,Illiquid/unquoted,Miscellaneous,31,23.703,https://wwipl.com/,,,,,
The Birla Cotton Spinning and Weaving Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",205,23.456,https://wwipl.com/,,,,,
Rajparis Civil Constructions Limited,Illiquid/unquoted,Real Estate,57,23.348,https://wwipl.com/,,,,,
Kashipur Holdings Limited,Unlisted,Miscellaneous,100,22.772,https://wwipl.com/,,,,,
B S Refrigerators Limited,Delisted,Consumer Durable,10,22.593,https://wwipl.com/,,,,,
Chitrakut Holdings Limited,Illiquid/unquoted,Financial Service,30,22.253,https://wwipl.com/,,,,,
Jardine Henderson Limited,Unlisted,Miscellaneous,1100,22,https://wwipl.com/,,,,,
Indo Alusys Industries Limited,Unlisted,Metal,26,21.908,https://wwipl.com/,,,,,
New Chumta  Tea Company limited,Unlisted,"Tea, Coffee & Plantation",100,21.4,https://wwipl.com/,,,,,
Ranicherra Tea Company  Limited,Unlisted,"Tea, Coffee & Plantation",82,21.32,https://wwipl.com/,,,,,
Rainbow Papers Limited,Suspended,Paper,2,21.243,https://wwipl.com/,,,,,
Bharat NRE Coke Limited,Delisted,Mining & Minerals,1,21.169,https://wwipl.com/,,,,,
Bil Energy Systems Ltd,Suspended,Power & Electricity,1,21.142,https://wwipl.com/,,,,,
Arcotech Limited,Suspended,Metal,2,21,https://wwipl.com/,,,,,
The Delhi Safe Deposit Company Limited,Illiquid/unquoted,Other,40,20.892,https://wwipl.com/,,,,,
Akash Agro Industries Limited,Illiquid/unquoted,Agriculture & Agro Products,51,20.699,https://wwipl.com/,,,,,
Pearl Apartments Limited,Illiquid/unquoted,Miscellaneous,412,20.595,https://wwipl.com/,,,,,
Cyber Media Research and Services Limited,Pre IPO,Media,190,20.305,https://wwipl.com/,,,,,
Jotindra Steel And Tubes Limited,Illiquid/unquoted,Real Estate,41,19.978,https://wwipl.com/,,,,,
Amitabh Bachchan Corporation Pvt Ltd,Unlisted,Entertainment,4,19.509,https://wwipl.com/,,,,,
Reliance Mediaworks Limited,Delisted,Media,1,19.321,https://wwipl.com/,,,,,
Sangrahalaya Timber and Crafts Limited,Illiquid/unquoted,Financial Service,9,18.509,https://wwipl.com/,,,,,
The Nelliampathy Tea and Produce Company Limited,Unlisted,"Tea, Coffee & Plantation",370,18.102,https://wwipl.com/,,,,,
Kumar Autocast Limited,Illiquid/unquoted,Casting & Forgings,17,17.791,https://wwipl.com/,,,,,
Haldia Petrochemicals Limited,Unlisted,"Energy, Oil & Gas",0,16.879,https://wwipl.com/,,,,,
JVL Agro Industries Limited,Suspended,Agro Products,1,16.794,https://wwipl.com/,,,,,
Swati Projects Limited,Illiquid/unquoted,Financial Service,16,16.17,https://wwipl.com/,,,,,
Madbow Ventures Limited,Unlisted,Retail,34,15.98,https://wwipl.com/,,,,,
Peirce Leslie India Limited,Unlisted,Service,52,15.905,https://wwipl.com/,,,,,
Patels Airflow Limited,Unlisted,Other,70,15.751,https://wwipl.com/,,,,,
Starlite Global Enterprises India Limited,Illiquid/unquoted,Real Estate,39,15.434,https://wwipl.com/,,,,,
Pact Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",3,15.237,https://wwipl.com/,,,,,
Merit Credit Corporation Limited,Illiquid/unquoted,Financial Service,25,14.82,https://wwipl.com/,,,,,
Lakshmi Energy and Foods Limited,Suspended,Food & Drinks,2,14.726,https://wwipl.com/,,,,,
The Methoni Tea Company Limited,Unlisted,Hotel or Catering,162,14.71,https://wwipl.com/,,,,,
OCL Iron And Steel Ltd,Suspended,"Metal, Steel & Iron",1,14.531,https://wwipl.com/,,,,,
Sterling Estates and Properties Limited,Illiquid/unquoted,Real Estate,44,14.471,https://wwipl.com/,,,,,
Hindustan Dorr Oliver Limited,Delisted,Construction,2,14.401,https://wwipl.com/,,,,,
Metkore Alloys  and  Industries Limited,Suspended,Metal,2,14.085,https://wwipl.com/,,,,,
Dewas Metal Sections Limited,Unlisted,"Metal, Steel & Iron",45,13.995,https://wwipl.com/,,,,,
Agarwal Duplex Board Mills Limited,Illiquid/unquoted,Paper,1,13.5,https://wwipl.com/,,,,,
Birla Cotsyn India Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0,13.433,https://wwipl.com/,,,,,
Tunwal E Motors Private Limited,Unlisted,Other,130,13.374,https://wwipl.com/,,,,,
Virat Leasing Limited,Delisted,Investment & Holding,10,13.11,https://wwipl.com/,,,,,
Vijay Shanthi Builders Limited,Delisted,Real Estate,5,13.094,https://wwipl.com/,,,,,
Arraycom India Limited,Unlisted,Other,26,13.05,https://wwipl.com/,,,,,
Silicon Valley Infotech Limited,Delisted,"IT, Software",1,12.968,https://wwipl.com/,,,,,
Rathi Industries Limited,Illiquid/unquoted,"Metal, Steel & Iron",20,12.92,https://wwipl.com/,,,,,
Reliance Broadcast Network Limited,Delisted,Media,0,12.795,https://wwipl.com/,,,,,
Silverline Technologies Limited,Delisted,"IT, Software",2,12.597,https://wwipl.com/,,,,,
East West Hotels Limited,Unlisted,Hotel or Catering,351,12.505,https://wwipl.com/,,,,,
AKC Steel Industries Limited,Unlisted,"Metal, Steel & Iron",30,12.45,https://wwipl.com/,,,,,
Meenakshi Mercantiles Limited,Illiquid/unquoted,Financial Service,10,12.239,https://wwipl.com/,,,,,
Sangameshwar Coffee Estates Limited,Unlisted,"Tea, Coffee & Plantation",95,11.991,https://wwipl.com/,,,,,
Central Cables Limited,Illiquid/unquoted,Cables,73,11.895,https://wwipl.com/,,,,,
High Ground Enterprise Limited,Suspended,Engineering,1,11.512,https://wwipl.com/,,,,,
Manpasand Beverages Limited,Suspended,Other,1,11.446,https://wwipl.com/,,,,,
MPL Enterprises Limited,Unlisted,NBFC,40,11.304,https://wwipl.com/,,,,,
Cremica Agro Foods Limited,Illiquid/unquoted,Food & Drinks,25,11.284,https://wwipl.com/,,,,,
Kirti Investments Limited,Illiquid/unquoted,Investment & Holding,5,11,https://wwipl.com/,,,,,
Robert Resources Limited,Illiquid/unquoted,Trading,11,10.962,https://wwipl.com/,,,,,
Steadfast Corporation Limited,Illiquid/unquoted,Miscellaneous,15,10.632,https://wwipl.com/,,,,,
Balaji Agro Oils Limited,Illiquid/unquoted,Agro Products,10,10.63,https://wwipl.com/,,,,,
Visisth Chay Vyapar Limited,Illiquid/unquoted,Financial Service,5,10.599,https://wwipl.com/,,,,,
Kesoram Textile Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2,10.509,https://wwipl.com/,,,,,
Deepjyoti Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",21,10.421,https://wwipl.com/,,,,,
Gemini Communication Limited,Delisted,"IT, Software",1,10.415,https://wwipl.com/,,,,,
SSF Limited,Illiquid/unquoted,Retail,16,10.318,https://wwipl.com/,,,,,
Ace Exports Limited,Illiquid/unquoted,Footwear,19,10.246,https://wwipl.com/,,,,,
India Stuffyarn Limited,Illiquid/unquoted,Trading,180,10.224,https://wwipl.com/,,,,,
AKS Credits Limited,Illiquid/unquoted,Financial Service,9,10.065,https://wwipl.com/,,,,,
The Bormah Jan Tea Company 1936 Limited,Unlisted,Agriculture & Agro Products,800,10,https://wwipl.com/,,,,,
John Oakey And Mohan Limited,Unlisted,Forestry & Wood,205,9.917,https://wwipl.com/,,,,,
Auckland Jute Co Limited,Unlisted,Other,36,9.883,https://wwipl.com/,,,,,
Balanoor Plantations and Industries Limited,Unlisted,"Tea, Coffee & Plantation",160,9.868,https://wwipl.com/,,,,,
DHSL Textiles India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",20,9.771,https://wwipl.com/,,,,,
Shah Construction Company Limited,Delisted,Construction,600,9.675,https://wwipl.com/,,,,,
CKP Leisure Limited,Suspended,Hotel or Catering,10,9.634,https://wwipl.com/,,,,,
ICSA India Limited,Suspended,"IT, Software",2,9.628,https://wwipl.com/,,,,,
RK Manufacturing Company Limited,Illiquid/unquoted,Metal,10,9.586,https://wwipl.com/,,,,,
Cura Technologies Limited,Suspended,"IT, Software",10,9.555,https://wwipl.com/,,,,,
Jagat Trading Enterprises Limited,Illiquid/unquoted,Trading,19,9.503,https://wwipl.com/,,,,,
Calcutta Security Printers Limited,Delisted,Printing & Stationery,220,9.46,https://wwipl.com/,,,,,
Haileyburia Tea Estates Limited,Unlisted,"Tea, Coffee & Plantation",60,9.45,https://wwipl.com/,,,,,
Pace Automation Limited,Illiquid/unquoted,"IT, Software",10,9.448,https://wwipl.com/,,,,,
Ganon Products Limited,Delisted,Other,10,9.331,https://wwipl.com/,,,,,
Pincon Spirit Limited,Suspended,Breweries & Distilleries,2,9.258,https://wwipl.com/,,,,,
Shakumbhri Pulp and Paper Mills Limited,Illiquid/unquoted,Paper,24,9.098,https://wwipl.com/,,,,,
Rushabh Precision Bearings Limited,Suspended,Auto Ancillaries,10,9,https://wwipl.com/,,,,,
Progressive Finlease Limited,Illiquid/unquoted,Financial Service,10,8.947,https://wwipl.com/,,,,,
Bombay Gas Company Limited,Unlisted,GAS,11,8.808,https://wwipl.com/,,,,,
Crescent Finstock Limited,Illiquid/unquoted,Financial Service,12,8.668,https://wwipl.com/,,,,,
Artedz Fabs Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",10,8.56,https://wwipl.com/,,,,,
Hillridge Investments Limited,Illiquid/unquoted,Financial Service,10,8.5,https://wwipl.com/,,,,,
Ranjan Polysters Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",28,8.478,https://wwipl.com/,,,,,
Eon Electric Limited,Suspended,Electricals,5,8.451,https://wwipl.com/,,,,,
Midland Services Limited,Illiquid/unquoted,Service,26,8.447,https://wwipl.com/,,,,,
Federal Mogul Anand Sealings India Limited,Unlisted,Auto Ancillaries,10,8.334,https://wwipl.com/,,,,,
Stanes Amalgamated Estates Limited,Unlisted,Other,75,8.306,https://wwipl.com/,,,,,
Cals Refineries Limited,Delisted,"Energy, Oil & Gas",0,8.294,https://wwipl.com/,,,,,
DTL India Holdings Limited,Illiquid/unquoted,Metal,76,8.233,https://wwipl.com/,,,,,
Genesis Developers And Holdings Limited,Illiquid/unquoted,Financial Service,10,8.165,https://wwipl.com/,,,,,
The Puthutotam Estates 1943 Limited,Unlisted,"Tea, Coffee & Plantation",770,8.085,https://wwipl.com/,,,,,
Dr M Induscorp Limited,Illiquid/unquoted,Trading,10,7.56,https://wwipl.com/,,,,,
Bansal Multiflex Limited,Suspended,Trading,10,7.41,https://wwipl.com/,,,,,
Kothari Safe Deposits Limited,Unlisted,Other,110,7.402,https://wwipl.com/,,,,,
The Canara Workshops Limited,Unlisted,Auto Components,50,7.35,https://wwipl.com/,,,,,
IMC Limited,Delisted,Transport,10,7.238,https://wwipl.com/,,,,,
Satya Shyam Trading Limited,Illiquid/unquoted,Trading,23,7.221,https://wwipl.com/,,,,,
ZR Infra Limited,Illiquid/unquoted,Real Estate,6,7.128,https://wwipl.com/,,,,,
Nandini Texcom India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",14,7,https://wwipl.com/,,,,,
Asianlakto Industries Limited,Illiquid/unquoted,Food & Drinks,11,6.919,https://wwipl.com/,,,,,
Twenty First Century India Limited,Illiquid/unquoted,Investment & Holding,1,6.907,https://wwipl.com/,,,,,
Accuvant Advisory Services Limited,Illiquid/unquoted,Financial Service,10,6.889,https://wwipl.com/,,,,,
Ojswi Trades Investment And Finance Limited,Illiquid/unquoted,Financial Service,10,6.75,https://wwipl.com/,,,,,
Aggarsain Spinners Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",19,6.726,https://wwipl.com/,,,,,
Bharat Ekansh Limited,Illiquid/unquoted,Financial Service,13,6.675,https://wwipl.com/,,,,,
Ashoka Viniyoga Limited,Unlisted,Investment & Holding,100,6.424,https://wwipl.com/,,,,,
Bharat Bio Gas Energy Limited,Unlisted,GAS,10,6.25,https://wwipl.com/,,,,,
Shradha Industries Limited,Illiquid/unquoted,"IT, Software",50,6.201,https://wwipl.com/,,,,,
Agarwal Bolts Limited,Unlisted,Equipment,1200,6,https://wwipl.com/,,,,,
Ankur Marketing Limited,Illiquid/unquoted,Financial Service,20,6,https://wwipl.com/,,,,,
PHF Leasing Limited,Illiquid/unquoted,Real Estate,17,5.916,https://wwipl.com/,,,,,
Rampur Fertilizers Limited,Illiquid/unquoted,Fertilisers,12,5.913,https://wwipl.com/,,,,,
Maryada Commercial Enterprises and Investment Co Ltd,Illiquid/unquoted,Financial Service,46,5.783,https://wwipl.com/,,,,,
JDS Finance Company Limited,Illiquid/unquoted,Financial Service,10,5.735,https://wwipl.com/,,,,,
Purbasha Resources Limited,Unlisted,Investment & Holding,19,5.702,https://wwipl.com/,,,,,
Adventz Securities Enterprises Limited,Illiquid/unquoted,Financial Service,10,5.628,https://wwipl.com/,,,,,
Aashrit Capital Limited,Illiquid/unquoted,Financial Service,5,5.601,https://wwipl.com/,,,,,
Milton Cycle Industries Limited,Unlisted,Other,132,5.544,https://wwipl.com/,,,,,
Quality Synthetic Industries Limited,Illiquid/unquoted,Financial Service,10,5.5,https://wwipl.com/,,,,,
I Secure Credit and Capital Services Limited,Illiquid/unquoted,Financial Service,10,5.433,https://wwipl.com/,,,,,
JCK Infrastructure Development Limited,Illiquid/unquoted,Infrastructure,13,5.417,https://wwipl.com/,,,,,
Hind Ispat Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2,5.395,https://wwipl.com/,,,,,
Goldedge Estate And Investments Limited,Illiquid/unquoted,Financial Service,11,5.379,https://wwipl.com/,,,,,
Newlink Overseas Finance Limited,Unlisted,Financial Service,10,5.301,https://wwipl.com/,,,,,
Accentia Technologies Limited,Delisted,"IT, Software",3,5.295,https://wwipl.com/,,,,,
Lark Trading and Finance Limited,Illiquid/unquoted,Trading,10,5.26,https://wwipl.com/,,,,,
National Cereals Products limited,Unlisted,Food & Drinks,40,5.192,https://wwipl.com/,,,,,
Indu Engineering And Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,5.145,https://wwipl.com/,,,,,
Rich N Rich Finance And Holdings Limited,Illiquid/unquoted,Financial Service,10,5.05,https://wwipl.com/,,,,,
N E Electronics Limited,Illiquid/unquoted,Electronics,1,5.001,https://wwipl.com/,,,,,
Konark Commercial Limited,Illiquid/unquoted,Financial Service,10,5,https://wwipl.com/,,,,,
USS Global Limited,Illiquid/unquoted,Real Estate,10,5,https://wwipl.com/,,,,,
Pushkar Banijya Limited,Illiquid/unquoted,NBFC,10,4.984,https://wwipl.com/,,,,,
Centron Industrial Alliance Limited,Illiquid/unquoted,Other,1,4.98,https://wwipl.com/,,,,,
Sri Narayan Raj Kumar Merchants Limited,Illiquid/unquoted,"Metal, Steel & Iron",10,4.979,https://wwipl.com/,,,,,
Sun Finlease Gujarat Limited,Illiquid/unquoted,Financial Service,16,4.929,https://wwipl.com/,,,,,
Vadilal Chemicals Limited,Unlisted,Chemical,10,4.874,https://wwipl.com/,,,,,
Sidh Management Corporate Services Limited,Illiquid/unquoted,Financial Service,23,4.87,https://wwipl.com/,,,,,
Binani Industries Limited,Suspended,Diversified,2,4.705,https://wwipl.com/,,,,,
Amarkantak Traders Limited,Illiquid/unquoted,Service,12,4.508,https://wwipl.com/,,,,,
Skybox Industries Limited formerly smart cap Service ltd,Illiquid/unquoted,Miscellaneous,10,4.501,https://wwipl.com/,,,,,
Sarnimal Investment Limited,Illiquid/unquoted,Investment & Holding,1,4.498,https://wwipl.com/,,,,,
Tulya Alloy Castings Limited,Unlisted,"Metal, Steel & Iron",10,4.456,https://wwipl.com/,,,,,
Mcdowell Holdings Limited,Delisted,Financial Service,3,4.212,https://wwipl.com/,,,,,
CKP Products Limited,Suspended,FMCG,10,4.023,https://wwipl.com/,,,,,
Hilltone Software and Gases Limited,Unlisted,GAS,10,4,https://wwipl.com/,,,,,
Krimy Biscuits and Chemical Industries Limited,Illiquid/unquoted,Chemical,10,3.93,https://wwipl.com/,,,,,
Kamini Finance and Investment Company Limited,Illiquid/unquoted,Financial Service,3,3.901,https://wwipl.com/,,,,,
Sophia Exports Limited,Illiquid/unquoted,Miscellaneous,10,3.854,https://wwipl.com/,,,,,
Maxplus Logistics Limited,Illiquid/unquoted,Transport,10,3.834,https://wwipl.com/,,,,,
Skyline India Limited,Illiquid/unquoted,Trading,9,3.812,https://wwipl.com/,,,,,
Carbo Ceramics Limited,Unlisted,Miscellaneous,40,3.76,https://wwipl.com/,,,,,
Reliance Polycrete Limited,Illiquid/unquoted,Mining & Minerals,10,3.711,https://wwipl.com/,,,,,
Amrit Agro Industries Limited,Unlisted,FMCG,10,3.665,https://wwipl.com/,,,,,
Bellary Steels and Alloys Limited,Delisted,"Metal, Steel & Iron",0,3.657,https://wwipl.com/,,,,,
Mountain Spinning Mills Limited,Unlisted,Cotton,10,3.62,https://wwipl.com/,,,,,
Zel Jewellers Limited,Illiquid/unquoted,FMCG,10,3.55,https://wwipl.com/,,,,,
Roadways India Limited,Illiquid/unquoted,Transport,10,3.52,https://wwipl.com/,,,,,
Hindustan Auto Finance Limited,Illiquid/unquoted,Financial Service,10,3.503,https://wwipl.com/,,,,,
PIH Finvest Company Limited,Unlisted,Financial Service,39,3.411,https://wwipl.com/,,,,,
Madhya Bharat Papers Limited,Unlisted,Paper,10,3.41,https://wwipl.com/,,,,,
Opal Luxury Time Products Limited,Suspended,Miscellaneous,10,3.359,https://wwipl.com/,,,,,
Jain Farms Palm Oil Limited,Illiquid/unquoted,FMCG,11,3.345,https://wwipl.com/,,,,,
Parijat Paper Mills Limited,Illiquid/unquoted,Paper,10,3.29,https://wwipl.com/,,,,,
New Era Alkaloids and Export Limited,Illiquid/unquoted,Chemical,10,3.284,https://wwipl.com/,,,,,
Nitu Trading Company Limited,Illiquid/unquoted,Trading,10,3.275,https://wwipl.com/,,,,,
Atlas Cycles Haryana Ltd,Suspended,FMCG,5,3.252,https://wwipl.com/,,,,,
Fiber Plus Industries Limited,Illiquid/unquoted,Miscellaneous,10,3.248,https://wwipl.com/,,,,,
RR Corporate Securities Limited,Illiquid/unquoted,Financial Service,10,3.2,https://wwipl.com/,,,,,
Vadilal Dairy International Limited,Delisted,Dairy,10,3.194,https://wwipl.com/,,,,,
Austral Coke and Projects Limited,Suspended,Metal,0,3.193,https://wwipl.com/,,,,,
Ritman Infra Limited,Illiquid/unquoted,Real Estate,10,3.193,https://wwipl.com/,,,,,
Technical Associates Infrapower Limited,Illiquid/unquoted,Engineering,5,3.18,https://wwipl.com/,,,,,
Regal Enterprises Limited,Illiquid/unquoted,Miscellaneous,10,3.165,https://wwipl.com/,,,,,
Prabhat Securities Limited,Illiquid/unquoted,Financial Service,11,3.132,https://wwipl.com/,,,,,
Aurum Capital Projects Limited,Illiquid/unquoted,Financial Service,10,3.114,https://wwipl.com/,,,,,
Tarangini Investments Limited,Illiquid/unquoted,Investment & Holding,1,3.106,https://wwipl.com/,,,,,
River Front Hotels Limited,Illiquid/unquoted,Hotel or Catering,10,3.098,https://wwipl.com/,,,,,
Encore Business System Limited,Illiquid/unquoted,Miscellaneous,10,3.097,https://wwipl.com/,,,,,
Gracious Vanijya Limited,Illiquid/unquoted,Financial Service,14,3.084,https://wwipl.com/,,,,,
Jain Farms And Resorts Limited,Illiquid/unquoted,Real Estate,10,3.075,https://wwipl.com/,,,,,
Grand Foundry Ltd,Delisted,"Metal, Steel & Iron",1,3.073,https://wwipl.com/,,,,,
Lingapur Estates Limited,Unlisted,"Tea, Coffee & Plantation",20,3.068,https://wwipl.com/,,,,,
RCS Financial Technology Limited,Illiquid/unquoted,Financial Service,10,3.065,https://wwipl.com/,,,,,
Slesha Commercial Limited,Illiquid/unquoted,Financial Service,10,3.049,https://wwipl.com/,,,,,
Sicom Limited,Unlisted,NBFC,1,3.038,https://wwipl.com/,,,,,
Amrit India Limited,Illiquid/unquoted,Service,10,3.038,https://wwipl.com/,,,,,
Samyak Corporation Limited,Illiquid/unquoted,Financial Service,10,3.034,https://wwipl.com/,,,,,
Kiranglobal Business Investment Limited,Illiquid/unquoted,Financial Service,10,3.022,https://wwipl.com/,,,,,
Kumar Food Industries Limited,Illiquid/unquoted,FMCG,10,3,https://wwipl.com/,,,,,
Fedders Electric and Engineering Limited,Suspended,Engineering,0,3,https://wwipl.com/,,,,,
Nakoda Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0,3,https://wwipl.com/,,,,,
Ellora Traders Limited,Illiquid/unquoted,Financial Service,10,2.992,https://wwipl.com/,,,,,
Baghmari Tea Co Ltd,Unlisted,Other,90,2.97,https://wwipl.com/,,,,,
Udaipur Cotton Mills Company Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10,2.929,https://wwipl.com/,,,,,
Greenearth Resources And Projects Limited,Delisted,Mining & Minerals,0,2.903,https://wwipl.com/,,,,,
Supraneet Finance and Consultants Limited,Illiquid/unquoted,Financial Service,10,2.877,https://wwipl.com/,,,,,
The Teloijan Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160,2.87,https://wwipl.com/,,,,,
SNS Laboratories Limited,Illiquid/unquoted,Financial Service,10,2.863,https://wwipl.com/,,,,,
KRA Leasing Limited,Illiquid/unquoted,Financial Service,2,2.75,https://wwipl.com/,,,,,
Celestial Biolabs Limited,Suspended,Pharma,1,2.733,https://wwipl.com/,,,,,
JRD Finance Limited,Illiquid/unquoted,Financial Service,10,2.72,https://wwipl.com/,,,,,
Distinctive Properties and Leasing Ltd,Illiquid/unquoted,Real Estate,27,2.678,https://wwipl.com/,,,,,
Amarawati Tea Co Ltd,Unlisted,Other,2200,2.64,https://wwipl.com/,,,,,
Indo Bonito Multinational Limited,Delisted,Financial Service,1,2.494,https://wwipl.com/,,,,,
Hirajuli Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160,2.45,https://wwipl.com/,,,,,
Ace Stone Craft Limited,Illiquid/unquoted,Ceramics & Granite,1,2.443,https://wwipl.com/,,,,,
Valecha Engineering Limited,Suspended,Engineering,1,2.366,https://wwipl.com/,,,,,
Thanjavur Spinning Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",20,2.347,https://wwipl.com/,,,,,
Brisk Services Limited,Illiquid/unquoted,Service,31,2.309,https://wwipl.com/,,,,,
Mrigaya Estate And Finance Limited,Illiquid/unquoted,Financial Service,14,2.211,https://wwipl.com/,,,,,
Spangle Marketing Limited,Illiquid/unquoted,Financial Service,10,2.202,https://wwipl.com/,,,,,
Dhelakhat Tea Co Ltd,Unlisted,Other,55,2.16,https://wwipl.com/,,,,,
Purity Flexpack Limited,Illiquid/unquoted,Packaging,20,2.147,https://wwipl.com/,,,,,
Birla Power Solution Limited,Delisted,Electric Equipment,0,2.135,https://wwipl.com/,,,,,
Nidhi Services Limited,Illiquid/unquoted,Service,14,2.103,https://wwipl.com/,,,,,
Kalyani Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",210,2.075,https://wwipl.com/,,,,,
Associated Ceramics Limited,Delisted,Engineering,10,2.045,https://wwipl.com/,,,,,
E L Forge Limited,Delisted,"Metal, Steel & Iron",1,2.032,https://wwipl.com/,,,,,
Eastern Dooars Tea Co ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",101,2.02,https://wwipl.com/,,,,,
Saanvi Advisors Limited,Illiquid/unquoted,Financial Service,10,2.011,https://wwipl.com/,,,,,
Capital Finvest Limited,Illiquid/unquoted,Financial Service,10,2,https://wwipl.com/,,,,,
Amar Vanijya Limited,Illiquid/unquoted,Miscellaneous,10,1.992,https://wwipl.com/,,,,,
Pillar Investment Company Limited,Illiquid/unquoted,Investment & Holding,10,1.985,https://wwipl.com/,,,,,
P R Holdings Limited,Illiquid/unquoted,Real Estate,10,1.89,https://wwipl.com/,,,,,
Kanco Enterprises Limited,Delisted,Cotton,1,1.793,https://wwipl.com/,,,,,
Gujarat Wedge Wire Screens Limited,Delisted,Miscellaneous,20,1.645,https://wwipl.com/,,,,,
Ritz Mercantile Limited,Illiquid/unquoted,Financial Service,15,1.601,https://wwipl.com/,,,,,
Sharp Commercial Enterprises Limited,Illiquid/unquoted,Retail,10,1.59,https://wwipl.com/,,,,,
Simplex Projects Limited,Suspended,Engineering,1,1.512,https://wwipl.com/,,,,,
Alchemist Limited,Suspended,Miscellaneous,1,1.505,https://wwipl.com/,,,,,
Nidhan Commercial Company Ltd,Illiquid/unquoted,Miscellaneous,50,1.504,https://wwipl.com/,,,,,
Electra Jaipur Limited,Illiquid/unquoted,Electricals,10,1.496,https://wwipl.com/,,,,,
Be Swasth Healthcare Limited,Illiquid/unquoted,Healthcare,13,1.483,https://wwipl.com/,,,,,
Jeco Exports And Finance Limited,Illiquid/unquoted,Financial Service,10,1.482,https://wwipl.com/,,,,,
Uttaranchal Leasing Limited,Illiquid/unquoted,Financial Service,10,1.414,https://wwipl.com/,,,,,
Uddhav Properties Limited,Illiquid/unquoted,Financial Service,10,1.41,https://wwipl.com/,,,,,
SNS Diagnostics Limited,Illiquid/unquoted,Financial Service,10,1.35,https://wwipl.com/,,,,,
Mangalam Engineering Projects Limited,Illiquid/unquoted,Financial Service,10,1.237,https://wwipl.com/,,,,,
Aditri Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",1,1.197,https://wwipl.com/,,,,,
Denim Developers Limited,Illiquid/unquoted,Real Estate,1,1.168,https://wwipl.com/,,,,,
SAB Electronic Devices Limited,Illiquid/unquoted,Electronics,10,1.16,https://wwipl.com/,,,,,
